mig_ext_attempts,avg_log_income,income_per_capita,mig_ext_cost_total_usd,debt_amount,sucess_yn,institutional_loan_yn
1,4.17,98,2887,1219,0.58,0.24
2,3.66,55,3582,1305,0.69,0.28
3,4.49,69,4851,1644,0.68,0.39
4,3.38,41,3413,454,0.88,0.25
5,,,2022,,1.00,1.00
